"es_id","study","species","category","yi","vi","resid"
31,31,"Axoclinus_carminalis","gsi",0.134395348,0.085902433,2.77276540410111
33,31,"Axoclinus_carminalis","quantity",1.395662409,0.207247366,1.78019440418145
29,31,"Axoclinus_nigricaudus","gsi",-0.439806387,0.093242336,2.19856366910111
30,31,"Axoclinus_nigricaudus","gsi",-0.841404561,0.089163898,1.79696549510111
32,31,"Axoclinus_nigricaudus","quantity",1.002202174,0.187591858,1.38673416918145
119,39,"Gasterosteus_aculeatus","quality",0.491239216,0.05659411,0.742282614146053
120,39,"Gasterosteus_aculeatus","quality",0.581043394,0.05723608,0.832086792146053
121,39,"Gasterosteus_aculeatus","quality",-0.110884767,0.055067307,0.140158631146053
122,39,"Gasterosteus_aculeatus","quality",0.077435062,0.055025312,0.328478460146053
123,39,"Gasterosteus_aculeatus","quality",0.57594919,0.057196787,0.826992588146053
124,39,"Gasterosteus_aculeatus","quantity",0.292897803,0.055557265,0.677429798181451
125,39,"Gasterosteus_aculeatus","quantity",-0.077508793,0.055025388,0.307023202181451
126,39,"Gasterosteus_aculeatus","quality",-1.198046663,0.064554109,-0.947003264853947
127,39,"Gasterosteus_aculeatus","quality",-0.769101579,0.058928786,-0.518058180853947
128,39,"Gasterosteus_aculeatus","quality",0.067046641,0.055015306,0.318090039146053
56,5,"Gobius_niger","allocation",0.404549353,0.266396671,-2.32835212218175
57,5,"Gobius_niger","allocation",0.157710919,0.263092208,-2.57519055618175
58,5,"Gobius_niger","allocation",0.922429544,0.282758959,-1.81047193118175
59,5,"Gobius_niger","allocation",1.057079965,0.289105192,-1.67582151018175
60,23,"Gobius_niger","gsi",-1.915782807,0.098919683,0.722587249101108
61,23,"Gobius_niger","quality",1.335084669,0.08292161,1.58612806714605
62,23,"Gobius_niger","quantity",-1.500574505,0.086898497,-1.11604250981855
63,23,"Gobius_niger","quantity",-0.168231853,0.068055939,0.216300142181451
102,35,"Gobius_niger","gsi",-2.202562526,0.356980047,0.435807530101108
103,35,"Gobius_niger","quality",0.206202099,0.223403314,0.457245497146053
108,46,"Gobius_niger","quality",-0.321596164,0.155835079,-0.0705527658539467
110,46,"Gobius_niger","quality",-1.36564389,0.205520484,-1.11460049185395
111,46,"Gobius_niger","quality",-1.303371155,0.202057841,-1.05232775685395
112,46,"Gobius_niger","quality",-1.428497389,0.209179266,-1.17745399085395
116,46,"Gobius_niger","quality",-1.152174196,0.322027957,-0.901130797853947
91,38,"Lamprologus_callipterus","gsi",-2.578906902,0.047407611,0.0594631541011084
145,33,"Lamprologus_callipterus","gsi",-2.343571439,0.088417646,0.294798617101108
188,37,"Lamprologus_lemairii","quantity",-0.36367614,0.194058147,0.0208558551814511
189,37,"Lamprologus_lemairii","quality",0.087872832,0.191092939,0.338916230146053
190,37,"Lamprologus_lemairii","quality",-0.444023728,0.178528448,-0.192980329853947
191,37,"Lamprologus_lemairii","quality",-0.33641115,0.185905435,-0.0853677518539467
19,29,"Lepomis_macrochirus","quality",0.398765655,0.186947289,0.649809053146053
20,29,"Lepomis_macrochirus","quantity",-1.061184,0.22,-0.676652004818549
21,29,"Lepomis_macrochirus","quantity",1.375776,0.2398,1.76030799518145
22,29,"Lepomis_macrochirus","quality",2.591435294,0.5206,2.84247869214605
23,29,"Lepomis_macrochirus","quantity",1.400516456,0.2315,1.78504845118145
81,21,"Lepomis_macrochirus","gsi",-2.481880669,0.063731343,0.156489387101108
82,21,"Lepomis_macrochirus","quantity",-3.854711516,0.134422649,-3.47017952081855
83,21,"Lepomis_macrochirus","quality",1.885970957,0.34747145,2.13701435514605
84,20,"Lepomis_macrochirus","quality",-0.119516997,0.196753215,0.131526401146053
85,20,"Lepomis_macrochirus","quality",-1.460062697,0.244878187,-1.20901929885395
86,20,"Lepomis_macrochirus","quality",-0.482927304,0.201728998,-0.231883905853947
87,20,"Lepomis_macrochirus","quality",-1.364344304,0.2421,-1.11330090585395
88,20,"Lepomis_macrochirus","quality",-1.023306329,0.2221,-0.772262930853947
92,42,"Lepomis_macrochirus","quantity",54.72312437,60.05266324,55.1076563651815
93,42,"Lepomis_macrochirus","quality",-0.160290491,0.160770271,0.0907529071460533
94,42,"Lepomis_macrochirus","quality",0.396072308,0.163393876,0.647115706146053
95,42,"Lepomis_macrochirus","quality",-0.641600441,0.168489433,-0.390557042853947
193,14,"Neolamprologus_modestus","gsi",-2.112929811,0.189865743,0.525440245101108
48,7,"Oncorhynchus_masou","gsi",1.568622722,0.04896762,4.20699277810111
49,7,"Oncorhynchus_masou","gsi",1.590689516,0.049159147,4.22905957210111
50,7,"Oncorhynchus_masou","gsi",2.234565424,0.127491326,4.87293548010111
51,7,"Oncorhynchus_masou","gsi",2.286998456,0.128688697,4.92536851210111
26,13,"Oncorhynchus_nerka","quantity",-1.999544928,0.918446515,-1.61501293281855
27,13,"Oncorhynchus_nerka","quality",-1.699781579,4.67580568,-1.44873818085395
28,13,"Oncorhynchus_nerka","quality",0.511355555,0.846205156,0.762398953146053
162,18,"Oncorhynchus_tshawytscha","gsi",-1.233386317,0.115398893,1.40498373910111
163,18,"Oncorhynchus_tshawytscha","quality",-0.858378834,0.108135675,-0.607335435853947
164,18,"Oncorhynchus_tshawytscha","quality",-0.856884103,0.108111935,-0.605840704853947
165,18,"Oncorhynchus_tshawytscha","quality",-0.818330419,0.10751392,-0.567287020853947
166,18,"Oncorhynchus_tshawytscha","quality",-0.259814334,0.101938353,-0.00877093585394667
167,18,"Oncorhynchus_tshawytscha","quantity",-0.162928396,0.101559114,0.221603599181451
173,44,"Oncorhynchus_tshawytscha","gsi",-1.202553897,0.086151738,1.43581615910111
174,44,"Oncorhynchus_tshawytscha","quality",-0.597793056,0.077645649,-0.346749657853947
175,44,"Oncorhynchus_tshawytscha","quality",-0.353464343,0.075829872,-0.102420944853947
176,44,"Oncorhynchus_tshawytscha","quality",-0.37608649,0.075958809,-0.125043091853947
177,44,"Oncorhynchus_tshawytscha","quality",-0.296682446,0.075541461,-0.0456390478539467
178,44,"Oncorhynchus_tshawytscha","quality",-0.250624525,0.134975449,0.000418873146053322
179,44,"Oncorhynchus_tshawytscha","quality",-0.304703004,0.13547597,-0.0536596058539467
180,44,"Oncorhynchus_tshawytscha","quality",0.561307915,0.139179681,0.812351313146053
181,44,"Oncorhynchus_tshawytscha","quality",-0.274506065,0.112501686,-0.0234626668539467
186,1,"Oncorhynchus_tshawytscha","quantity",0.344988799,0.405950864,0.729520794181451
206,41,"Oncorhynchus_tshawytscha","quality",-0.413897517,0.145916271,-0.162854118853947
207,41,"Oncorhynchus_tshawytscha","quality",0.086388953,0.142990412,0.337432351146053
77,47,"Parablennius_parvicornis","gsi",-1.543391666,0.279331666,1.09497839010111
34,11,"Parablennius_sanguinolentus_parvicornis","gsi",-1.983625962,0.373304344,0.654744094101108
35,11,"Parablennius_sanguinolentus_parvicornis","quality",0.48740871,0.307918908,0.738452108146053
129,15,"Poecilia_parae","quantity",-0.691057469,0.115277049,-0.306525473818549
131,15,"Poecilia_parae","quality",-0.053771715,0.108862602,0.197271683146053
132,15,"Poecilia_parae","quality",1.021662582,0.12292886,1.27270598014605
133,15,"Poecilia_parae","quality",-1.381429165,0.134611996,-1.13038576685395
134,15,"Poecilia_parae","quality",-1.148550419,0.126650125,-0.897507020853947
15,6,"Poecilia_reticulata","quantity",-0.172413653,0.103012688,0.212118342181451
16,6,"Poecilia_reticulata","allocation",7.943450667,0.911585534,5.21054919181825
195,43,"Porichthys_notatus","quality",0.99993193,0.129415348,1.25097532814605
196,43,"Porichthys_notatus","quality",1.163327626,0.179871753,1.41437102414605
197,43,"Porichthys_notatus","quality",-0.835441692,0.167268516,-0.584398293853947
198,43,"Porichthys_notatus","quality",0.37619963,0.156567811,0.627243028146053
199,43,"Porichthys_notatus","quality",-0.043568967,0.157612262,0.207474431146053
