authors;year;paper.number;es_id;genus;species;animal;animal_on_tree;pop;number.mts;type.of.study;treatment;condition;sperm.comp.rank;sperm_comp_cat;response.variable.type;is_gsi;is_abs_gonad_size;variable.type;variable.type1;meaning.response.variable;sample.size.stat;es_hedges_g;es_var;size.measure;major.size;sde.major.size;n1.size;minor.size;sde.minor.size;n2.size;sample.size.size;
Neat;2001;31;31;Axoclinus;?;Axoclinus_carminalis;Enneanectes_altivelis;"""rocky reefs close to El Instituto Tecnológico y de Estudios Superiores de
Monterrey, Guaymas, Sonora, Mexico (28◦ North, in
the central region of the Gulf of California)""";2;obs;NA;natural;2;1.L;GSI;1;0;production;production_1;"""Testes were preserved in individual 1.5 ml eppendorfs in 4% formalin solu- tion. Body weight and testes mass (including glandular portion) were recorded to 0.1mg and the gonadoso- matic index (GSI) calculated as testis wt per body weight ∗ 100.""";48;0.134395348;0.085902433;?;?;?;?;?;?;?;?;
Neat;2001;31;33;Axoclinus;?;Axoclinus_carminalis;Enneanectes_altivelis;"""rocky reefs close to El Instituto Tecnológico y de Estudios Superiores de
Monterrey, Guaymas, Sonora, Mexico (28◦ North, in
the central region of the Gulf of California)""";2;obs;NA;natural;2;1.L;% glandular tissue;0;0;production;production_0;"""The testicular gland is on the ven- tral surface of the testes and is a darker color than the white seminiferous portion of the testis. The glan- dular tissue was dissected and then weighed on a Sartorius micro-balance to the nearest 0.01 mg. The proportion of glandular tissue was expressed as a per- centage of the total testis weight. The glands of small non-territorial male A. nigricaudus were too small to accurately dissect""";24;1.395662409;0.207247366;?;?;?;?;?;?;?;?;
Neat;2001;31;29;Axoclinus;?;Axoclinus_nigricaudus;Enneanectes_boehlkei;"""rocky reefs close to El Instituto Tecnológico y de Estudios Superiores de
Monterrey, Guaymas, Sonora, Mexico (28◦ North, in
the central region of the Gulf of California)""";2;obs;minor 1: small non-territorials;natural;5;3.H;GSI;1;0;production;production_1;"""Testes were preserved in individual 1.5 ml eppendorfs in 4% formalin solu- tion. Body weight and testes mass (including glandular portion) were recorded to 0.1mg and the gonadoso- matic index (GSI) calculated as testis wt per body weight ∗ 100.""";45;-0.439806387;0.093242336;?;?;?;?;?;?;?;?;
Neat;2001;31;30;Axoclinus;?;Axoclinus_nigricaudus;Enneanectes_boehlkei;"""rocky reefs close to El Instituto Tecnológico y de Estudios Superiores de
Monterrey, Guaymas, Sonora, Mexico (28◦ North, in
the central region of the Gulf of California)""";2;obs;minor 2: large non-territorial;natural;5;3.H;GSI;1;0;production;production_1;"""Testes were preserved in individual 1.5 ml eppendorfs in 4% formalin solu- tion. Body weight and testes mass (including glandular portion) were recorded to 0.1mg and the gonadoso- matic index (GSI) calculated as testis wt per body weight ∗ 100.""";49;-0.841404561;0.089163898;?;?;?;?;?;?;?;?;
Neat;2001;31;32;Axoclinus;?;Axoclinus_nigricaudus;Enneanectes_boehlkei;"""rocky reefs close to El Instituto Tecnológico y de Estudios Superiores de
Monterrey, Guaymas, Sonora, Mexico (28◦ North, in
the central region of the Gulf of California)""";2;obs;NA;natural;5;3.H;% glandular tissue;0;0;production;production_0;"""The testicular gland is on the ven- tral surface of the testes and is a darker color than the white seminiferous portion of the testis. The glan- dular tissue was dissected and then weighed on a Sartorius micro-balance to the nearest 0.01 mg. The proportion of glandular tissue was expressed as a per- centage of the total testis weight. The glands of small non-territorial male A. nigricaudus were too small to accurately dissect""";24;1.002202174;0.187591858;?;?;?;?;?;?;?;?;
Takegaki et al;2012;36;171;Bathygobius;dusky frillgoby;Bathygobius_fuscus;Bathygobius_mystacium;"""rocky intertidal pools on the Miezaki coast, Nagasaki, Japan""";2;obs;NA;natural;3;2.M;testes mass (g);0;1;production;production_0;"""Then, all males (62 non-nesting males and 9 egg-tending NH males) were sacrificed using MS 222, and SL, body weight and testes weight were measured""";71;0.036719208;0.127249638;mean soma mass (g) +/- sd;3.846253;2.00215;9;1.624244;1.051597;62;71;
Cote et al;2009;39;118;Gasterosteus;three-spined stickleback;Gasterosteus_aculeatus;Gasterosteus_aculeatus;"""Baie de l’Isle-Verte about 200 km northeast of Que- bec City along the south shore of the St. Lawrence Estuary""";3;obs;minor 1: non-territorial (NTM);laboratory;3;2.M;gonad mass (g);0;1;production;production_0;"""Gonads were extracted and weighed.""";75;1.253864772;0.065466516;mean body weight (g) +/- sd;2.66;0.68;31;2.51;0.57;44;75;
Cote et al;2009;39;119;Gasterosteus;three-spined stickleback;Gasterosteus_aculeatus;Gasterosteus_aculeatus;"""Baie de l’Isle-Verte about 200 km northeast of Que- bec City along the south shore of the St. Lawrence Estuary""";3;obs;minor 1: non-territorial (NTM);laboratory;3;2.M;VAP: average path velocity (µm s-1);0;0;quality;quality;"""The parameters recorded for each sample were as follows: path velocity (VAP as the mean path velocity of sperm,
mm/s)""";75;0.491239216;0.05659411;mean body weight (g) +/- sd;2.66;0.68;31;2.51;0.57;44;75;
Cote et al;2009;39;120;Gasterosteus;three-spined stickleback;Gasterosteus_aculeatus;Gasterosteus_aculeatus;"""Baie de l’Isle-Verte about 200 km northeast of Que- bec City along the south shore of the St. Lawrence Estuary""";3;obs;minor 1: non-territorial (NTM);laboratory;3;2.M;VSL (µm s-1);0;0;quality;quality;"""progressive velocity (VSL as the straight-line distance from beginning to end of a sperm track divided by the time taken, mm/s)""";75;0.581043394;0.05723608;mean body weight (g) +/- sd;2.66;0.68;31;2.51;0.57;44;75;
Cote et al;2009;39;121;Gasterosteus;three-spined stickleback;Gasterosteus_aculeatus;Gasterosteus_aculeatus;"""Baie de l’Isle-Verte about 200 km northeast of Que- bec City along the south shore of the St. Lawrence Estuary""";3;obs;minor 1: non-territorial (NTM);laboratory;3;2.M;VCL (µm s-1);0;0;quality;quality;"""curvilinear velocity (VCL as a measure of the total distance traveled by a given sperm divided by the time elapsed, mm/s)""";75;-0.110884767;0.055067307;mean body weight (g) +/- sd;2.66;0.68;31;2.51;0.57;44;75;
