species,hedges_g,sample_size_n,scr,original_response_variable,variable_type,source
Axoclinus carminalis,0.134,48,2,GSI,production,Neat (2001)
Axoclinus carminalis,1.396,24,2,% glandular tissue,production,Neat (2001)
Axoclinus nigricaudus,-0.440,45,5,GSI,production,Neat (2001)
Axoclinus nigricaudus,-0.841,49,5,GSI,production,Neat (2001)
Axoclinus nigricaudus,1.002,24,5,% glandular tissue,production,Neat (2001)
Bathygobius fuscus,0.037,71,3,testes mass (g),production,Takegaki et al. (2012)
Gasterosteus aculeatus,1.254,75,3,gonad mass (g),production,Côte et al. (2009)
Gasterosteus aculeatus,0.491,75,3,average path velocity (µm s-1),quality,Côte et al. (2009)
Gasterosteus aculeatus,0.581,75,3,straight line velocity (µm s-1),quality,Côte et al. (2009)
Gasterosteus aculeatus,-0.111,75,3,VCL (µm s-1),quality,Côte et al. (2009)
Gasterosteus aculeatus,0.077,75,3,motile percentage (%),quality,Côte et al. (2009)
Gasterosteus aculeatus,0.576,75,3,rapid percentage (%),quality,Côte et al. (2009)
Gasterosteus aculeatus,0.293,75,3,estimated number of sperm (106 sperm),production,Côte et al. (2009)
Gasterosteus aculeatus,-0.078,75,3,sperm concentration (106 sperm/g of gonad),production,Côte et al. (2009)
Gasterosteus aculeatus,-1.198,75,3,loss of path velocity (µm/s2),quality,Côte et al. (2009)
Gasterosteus aculeatus,-0.769,75,3,PK activity in sperm (U/106 sperm),quality,Côte et al. (2009)
Gasterosteus aculeatus,0.067,75,3,CS activity in sperm (U/106 sperm),quality,Côte et al. (2009)
Gobius niger,0.405,21,1,sperm concentration (sperm per mL of water),allocation,Pilastro et al. (2002)
Gobius niger,0.158,21,1,sperm concentration (sperm per mL of water),allocation,Pilastro et al. (2002)
Gobius niger,0.922,21,1,sperm concentration (sperm per mL of water),allocation,Pilastro et al. (2002)
Gobius niger,1.057,21,1,sperm concentration (sperm per mL of water),allocation,Pilastro et al. (2002)
Gobius niger,-1.916,59,1,GSI,production,Rasotto & Mazzoldi (2002)
Gobius niger,1.335,59,1,SVSI,quality,Rasotto & Mazzoldi (2002)
Gobius niger,-1.501,59,1,sperm number,production,Rasotto & Mazzoldi (2002)
Gobius niger,-0.168,59,1,sperm density (per mm2),production,Rasotto & Mazzoldi (2002)
Gobius niger,-2.203,18,1,GSI,production,Scaggiante et al. (2006)
Gobius niger,0.206,18,1,SVSI,quality,Scaggiante et al. (2006)
Gobius niger,-0.322,26,1,proportion of live sperm postactivation,quality,Locatello et al. (2007)
Gobius niger,-1.366,24,1,average path velocity (µm s-1) postactivation,quality,Locatello et al. (2007)
Gobius niger,-1.303,24,1,VCL (µm s-1) postactivation,quality,Locatello et al. (2007)
Gobius niger,-1.428,24,1,straight line velocity (µm s-1) postactivation,quality,Locatello et al. (2007)
Gobius niger,-1.152,15,1,ATP concentration,quality,Locatello et al. (2007)
Lamprologus callipterus,4.708,161,4,gonad weight (mg),production,Sato et al. (2004)
Lamprologus callipterus,-2.579,161,4,GSI (%),production,Sato et al. (2004)
Lamprologus callipterus,-2.344,80,4,GSI (%),production,Schültz et al. (2010)
Lamprologus lemairii,-0.182,23,2,testes mass (g),production,Ota et al. (2014)
Lamprologus lemairii,-0.364,21,2,spermatocrit (%),production,Ota et al. (2014)
Lamprologus lemairii,0.088,21,2,sperm flagellum length (µm),quality,Ota et al. (2014)
Lamprologus lemairii,-0.444,23,2,sperm longevity (s),quality,Ota et al. (2014)
Lamprologus lemairii,-0.336,22,2,sperm velocity after 10s (µm/s),quality,Ota et al. (2014)
Lepomis macrochirus,0.399,22,2,sperm length (µm),quality,Leach & Montgomerie (2000)
Lepomis macrochirus,-1.061,21,2,sperm concentration (milion sperm/µl),production,Leach & Montgomerie (2000)
Lepomis macrochirus,1.376,21,2,number of sperm,production,Leach & Montgomerie (2000)
Lepomis macrochirus,2.591,15,2,sperm velocity 45s postactivation (µm/s),quality,Leach & Montgomerie (2000)
