openalex_id,doi,title,publication_year,publication_date,journal_or_venue,authors,cited_by_count,is_oa,oa_url,search_type,abstract
https://openalex.org/W4214734077,https://doi.org/10.1111/brv.12846,Male alternative reproductive tactics and sperm competition: a meta‐analysis,2022,2022-02-28,Biological reviews/Biological reviews of the Cambridge Philosophical Society,Liam R. Dougherty; Michael J. A. Skirrow; Michael D. Jennions; Leigh W. Simmons,62,True,https://doi.org/10.1111/brv.12846,boolean_search,"In many animal species, males may exhibit one of several discrete, alternative ways of obtaining fertilisations, known as alternative reproductive tactics (ARTs). Males exhibiting ARTs typically differ in the extent to which they invest in traits that improve their mating success, or the extent to which they face sperm competition. This has led to the widespread prediction that males exhibiting ARTs associated with a high sperm competition risk, or lower investment into traits that improve their competitiveness before mating, should invest more heavily into traits that improve their competitiveness after mating, such as large ejaculates and high-quality sperm. However, despite many studies investigating this question since the 1990s, evidence for differences in sperm and ejaculate investment between male ARTs is mixed, and there has been no quantitative summary of this field. Following a systematic review of the literature, we performed a meta-analysis examining how testes size, sperm number and sperm traits differ between males exhibiting ARTs that face either a high or low sperm competition risk, or high or low investment in traits that increase mating success. We obtained data from 92 studies and 67 species from across the animal kingdom. Our analyses showed that male fish exhibiting ARTs facing a high sperm competition risk had significantly larger testes (after controlling for body size) than those exhibiting tactics facing a low sperm competition risk. However, this effect appears to be due to the inappropriate use of the gonadosomatic index as a body-size corrected measure of testes investment, which overestimates the difference in testes investment between male tactics in most cases. We found no significant difference in sperm number between males exhibiting different ARTs, regardless of whether sperm were measured from the male sperm stores or following ejaculation. We also found no significant difference in sperm traits between males exhibiting different ARTs, with the exception of sperm adenosine triphosphate (ATP) content in fish. Finally, the difference in post-mating investment between male ARTs was not influenced by the extent to which tactics were flexible, or by the frequency of sneakers in the population. Overall, our results suggest that, despite clear theoretical predictions, there is little evidence that male ARTs differ substantially in investment into sperm and ejaculates across species. The incongruence between theoretical and empirical results could be explained if (i) theoretical models fail to account for differences in overall resource levels between males exhibiting different ARTs or fundamental trade-offs between investment into different ejaculate and sperm traits, and (ii) studies often use sperm or ejaculate traits that do not reflect overall post-mating investment accurately or affect fertilisation success."
https://openalex.org/W2733107834,https://doi.org/10.1093/biolinnean/blx075,Testis size variation within sneaker males of the dusky frillgoby Bathygobius fuscus (Gobiidae): effects of within-tactic competition,2017,2017-06-07,Biological Journal of the Linnean Society,Shoma Kawase; Takahiro Hayashi; Yukio Matsumoto; Takeshi Takegaki,10,True,https://nagasaki-u.repo.nii.ac.jp/record/2648/files/BJLS122_394.pdf,boolean_search,"A ‘sneaking tactic’ is an alternative reproductive strategy that usually results in sperm competition among males with different tactics. Relatively large testes are a sneaker-specific trait that has generally been thought to have evolved due to sperm competition between sneaker males and bourgeois (guarding) males. However, here we show that competition among sneaker males can also affect testis enlargement in the dusky frillgoby (Bathygobius fuscus) sneaker males. The competitive advantage of focal sneaker males was experimentally manipulated by placing them in tanks with either relatively smaller or larger males. Testis enlargement was conspicuous in focal males that were cohoused with larger males. Smaller sneaker males may invest more in testicular growth because they are at a competitive disadvantage in physical contests for sneaking opportunities among sneaker males and consequently may be confined to making relatively late intrusions during spawning into nests that have a higher risk of sperm competition. Another possible reason for the relative size-dependent energy investment in testes may be increased investment by large sneaker males in aggressive interactions for sneaking opportunities. This is the first evidence that testis size variation among sneaker males is affected by the competition among sneaker males."
https://openalex.org/W3093437048,https://doi.org/10.1098/rstb.2020.0075,Sperm and alternative reproductive tactics: a review of existing theory and empirical data,2020,2020-10-18,Philosophical Transactions of the Royal Society B Biological Sciences,Matthew C. Kustra; Suzanne H. Alonzo,59,True,https://www.ncbi.nlm.nih.gov/pmc/articles/7661440,boolean_search,"Males that exhibit alternative reproductive tactics (ARTs) often differ in the risk of sperm competition and the energetic trade-offs they experience. The resulting patterns of selection could lead to between-tactic differences in ejaculate traits. Despite extensive research on male ARTs, there is no comprehensive review of whether and what differences in sperm traits exist between male ARTs. We review existing theory on ejaculate evolution relevant to ARTs and then conduct a comprehensive vote-counting review of the empirical data comparing sperm traits between males adopting ARTs. Despite the general expectation that sneaker males should produce sperm that are more competitive (e.g. higher quality or performance), we find that existing theory does not predict explicitly how males adopting ARTs should differ in sperm traits. The majority of studies find no significant difference in sperm performance traits between dominant and sneaker males. However, when there is a difference, sneaker males tend to have higher sperm performance trait values than dominant males. We propose ways that future theoretical and empirical research can improve our understanding of the evolution of ejaculate traits in ARTs. We then highlight how studying ejaculate traits in species with ARTs will improve our broader knowledge of ejaculate evolution. This article is part of the theme issue 'Fifty years of sperm competition'."
https://openalex.org/W3176251119,https://doi.org/10.1111/jeb.13894,Sperm competition risk affects ejaculate strategy in terms of sperm number but not sperm size in squid,2021,2021-06-24,Journal of Evolutionary Biology,Yoko Iwata; Noriyosi Sato; Noritaka Hirohashi; Yoshirô Watanabe; WHH Sauer; Paul W. Shaw,11,False,,boolean_search,"In polygamous species, the mode of sperm storage in females influences evolution of sperm quantitative and qualitative traits because it provides the arena for sperm competition, cryptic female choice and fertilization processes. In this study, we compared ejaculate traits of two squid species, Heterololigo bleekeri and Loligo reynaudii. Both species show dimorphic sperm traits associated with alternative reproductive tactics where consort and sneaker males transfer sperm to different storage sites within a female (on the oviduct and near the mouth, respectively). Due to differences in reproductive behaviours and sperm placement, sperm competition risk is expected to be higher in sneakers than in consorts of both species and higher overall in L. reynaudii. Our results demonstrate that the instantaneous number of released sperm is adjusted to the expected sperm competition risk via an elaborate sperm package. Consort sperm are similar in size; however, sneaker sperm have a significantly longer flagellum in H. bleekeri than in L. reynaudii, most likely due to intra-tactic conflicts associated with sperm storage conditions. From consideration of the different mating tactics, we suggest that while levels of sperm competition determine quantitative traits, sperm quality traits are determined more by the mode of sperm storage and fertilization."
https://openalex.org/W2736672356,https://doi.org/10.1002/jmor.20726,Dimorphic ejaculates and sperm release strategies associated with alternative mating behaviors in the squid,2017,2017-07-18,Journal of Morphology,Lígia H. Apostólico; José Eduardo Amoroso Rodriguez Marian,19,False,,boolean_search,"Sperm competition is a powerful postcopulatory selective force influencing male adaptations associated with increasing fertilization success, and it is usually related to the evolution of different strategies of ejaculate expenditure between individuals. Ejaculates may also be influenced by additional selective pressures associated with sperm competition, such as timing between insemination and fertilization, female reproductive tract morphology, and fertilization environment. Also, males that adopt alternative mating tactics may face distinct sperm competition pressures, which may lead to the evolution of intraspecific diversity in ejaculates. In loliginid squids, males with alternative reproductive tactics (sneakers and consorts) differ not only in mating behavior, but also transfer spermatophores into two distinct sites within the female. Here, we compared structure and functioning of spermatophores between sneakers and consorts in the squid Doryteuthis plei applying microscopy techniques and in vitro experiments. Sneakers and consorts exhibit differences in spermatophore structure that lead to distinct spermatophoric reactions and spermatangium morphologies. Moreover, in sneakers, sperm release lasts longer and their sperm show an aggregative behavior not detected in consorts. Slow sperm release may be a strategy to guarantee longer sperm provision, given the wide interval between sneaker mating and egg release. For consorts, in turn, intense and quick sperm discharge may be advantageous, as timing between mating and egg-laying is relatively short. Within the complex squid mating system, factors such as (i) different fertilization sites and (ii) interval between mating and egg release may also influence sperm competition, and ultimately shape the evolution of divergent ejaculates between dimorphic males."
https://openalex.org/W2495363548,https://doi.org/10.1201/9780429094170-1,"Testes, Sperm, and Sperm Competition",2019,2019-09-12,,Robert Montgomerie; John L. Fitzpatrick,21,False,,boolean_search,"This chapter looks at some of the diversity of gross morphology in testes and spermatozoa in the fishes in the context of sexual selection resulting from sperm competition. It explains why general patterns have been difficult to document in the fishes, and summarizes some of the relevant information available to date on variation in testis and sperm traits in this taxon, especially in the context of phylogenetic patterns and constraints. The chapter also looks at the influence of sperm competition on testes, focusing specifically on testes size. Probably the best evidence for the influence of sperm competition on testes size comes from studies of fishes with male alternative reproductive tactics. The tremendous diversity of fishes presents not only a challenge but also a splendid opportunity for the study of sperm competition. The chapter also presents an overview of the key concepts discussed in this book."
https://openalex.org/W2604838146,https://doi.org/10.1111/jeb.13088,Effects of ovarian fluid and genetic differences on sperm performance and fertilization success of alternative reproductive tactics in Chinook salmon,2017,2017-04-07,Journal of Evolutionary Biology,Sarah J. Lehnert; Ian A.E. Butts; Erin Flannery; Koebraa Peters; Daniel D. Heath; Trevor E. Pitcher,41,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jeb.13088,boolean_search,"In many species, sperm velocity affects variation in the outcome of male competitive fertilization success. In fishes, ovarian fluid (OF) released with the eggs can increase male sperm velocity and potentially facilitate cryptic female choice for males of specific phenotypes and/or genotypes. Therefore, to investigate the effect of OF on fertilization success, we measured sperm velocity and conducted in vitro competitive fertilizations with paired Chinook salmon (Oncorhynchus tshawytscha) males representing two alternative reproductive tactics, jacks (small sneaker males) and hooknoses (large guarding males), in the presence of river water alone and OF mixed with river water. To determine the effect of genetic differences on fertilization success, we genotyped fish at neutral (microsatellites) and functional [major histocompatibility complex (MHC) II ß1] markers. We found that when sperm were competed in river water, jacks sired significantly more offspring than hooknoses; however, in OF, there was no difference in paternity between the tactics. Sperm velocity was significantly correlated with paternity success in river water, but not in ovarian fluid. Paternity success in OF, but not in river water alone, was correlated with genetic relatedness between male and female, where males that were less related to the female attained greater paternity. We found no relationship between MHC II ß1 divergence between mates and paternity success in water or OF. Our results indicate that OF can influence the outcome of sperm competition in Chinook salmon, where OF provides both male tactics with fertilization opportunities, which may in part explain what maintains both tactics in nature."
https://openalex.org/W2604193941,https://doi.org/10.1371/journal.pone.0174828,Evidence for ontogenetically and morphologically distinct alternative reproductive tactics in the invasive Round Goby Neogobius melanostomus,2017,2017-04-03,PLoS ONE,Katinka Bleeker; Karen de Jong; Nils Kessel; Camilla A. Hinde; L.A.J. Nagelkerke,44,True,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0174828&type=printable,boolean_search,"Alternative reproductive tactics are characterized by the occurrence of discrete alternative morphs that differ in behavioural, morphological and physiological traits within the same sex. Although much effort has been made to describe the behaviour, morphology and physiology of such alternative morphs, less effort has been invested investigating how much overlap there is in the characteristics of such morphs in natural populations. We studied random population samples of the invasive Round Goby Neogobius melanostomus from five different localities in the river Rhine system in the Netherlands. We found two morphologically and physiologically distinct male morphs which likely represent alternative reproductive tactics. Almost all mature males under 9.35 cm total length had a gonadosomatic index > 3%, suggestive of a sneaker tactic, while nearly all males above 9.35 cm has a gonadosomatic index of < 3%, suggestive of a parental tactic. Cheek size and eye diameter alone were sufficient to distinguish the two morphs. Gonads had a different relationship with size in the two morphs, indicating separate growth trajectories. The gonad mass of sneaker morphs would be ca. 7.5 times as high as the gonad mass of parental morphs of the same total length after extrapolation. Few (9%) intermediates were found, suggesting that the expression of alternative reproductive tactics is determined before the first breeding season. This contrasts with studies on other goby species, which show evidence of plastic tactics that can be affected by social circumstances. We conclude that it is possible to distinguish two alternative male morphs in the Dutch Round Goby population using morphological measurements alone. Although behavioural observations are needed to provide conclusive evidence, the difference in GSI between these morphs indicates that these morphs reflect alternative reproductive tactics."
https://openalex.org/W4312163926,https://doi.org/10.1007/s10641-022-01383-w,Timing of sneaking behavior in the dusky frillgoby Bathygobius fuscus sneaker males,2022,2022-12-23,Environmental Biology of Fishes,Ryosuke Ishibashi; Takeshi Takegaki,3,False,,boolean_search,
https://openalex.org/W2583627701,https://doi.org/10.1016/j.jprot.2017.01.019,Proteomic characterization of seminal plasma from alternative reproductive tactics of Chinook salmon ( Oncorhynchus tswatchysha ),2017,2017-02-03,Journal of Proteomics,Robert Gombar; Trevor E. Pitcher; J. A. Lewis; J. Auld; Panayiotis O. Vacratsis,33,False,,boolean_search,
